name,same,color
CREST OF BASIN RING STRUCTURE,basin_crest,powderblue
GENERALIZED CREST OF BASIN RING STRUCTURE,basin_crest,powderblue
"CREST OF BASIN RING STRUCTURE, INFERRED",basin_infer,orchid
CREST OF BASIN RING STRUCTURE-DASHED WHERE POORLY KNOWN,basin_infer,salmon
COVERED CRATER RIM CREST,crater_rim,sandybrown
CREST OF BURIED CRATER RIM,crater_rim,firebrick
BURIED CRATER RIM CREST,,firebrick
CERTAIN,,b
APPROXIMATE,,#4e2737
UNCERTAIN,,#4e2737
INFERRED,,#4e2737
QUERIED,,#4e2737
"CONTACT, CERTAIN",,b
"CONTACT,APPROXIMATE",,#4e2737
"CONTACT,INFERRED",,#4e2737
"CONTACT, UNCERTAIN",,#4e2737
"CONTACT, BURIED",,#4e2737
FAULT,fault,c
FISSURE OR NARROW FAULT GRABEN,fault,goldenrod
LARGE TROUGH,fault,khaki
MARE RIDGE,ridge,indigo
RILLE,,y
SINUOUS RIDGE,ridge,m
SINUOUS SCARP,,orange
SLOPE,,teal
